close_time_jst,open_time_jst,open,high,low,close,volume,open_time_utc,close_time_utc,timestamp_ms
2025-09-29 18:00:00+09:00,2025-09-29 17:00:00+09:00,429.4,429.4,427.24,427.48,23615.1,2025-09-29 08:00:00+00:00,2025-09-29 09:00:00+00:00,1759136400000
2025-09-29 19:00:00+09:00,2025-09-29 18:00:00+09:00,427.44,427.44,425.68,426.28,40363.8,2025-09-29 09:00:00+00:00,2025-09-29 10:00:00+00:00,1759140000000
2025-09-29 20:00:00+09:00,2025-09-29 19:00:00+09:00,426.24,429.15,425.42,425.62,81629.0,2025-09-29 10:00:00+00:00,2025-09-29 11:00:00+00:00,1759143600000
2025-09-29 21:00:00+09:00,2025-09-29 20:00:00+09:00,425.6,427.64,424.35,424.7,57152.6,2025-09-29 11:00:00+00:00,2025-09-29 12:00:00+00:00,1759147200000
2025-09-29 22:00:00+09:00,2025-09-29 21:00:00+09:00,424.71,429.63,424.34,429.18,153092.3,2025-09-29 12:00:00+00:00,2025-09-29 13:00:00+00:00,1759150800000
2025-09-29 23:00:00+09:00,2025-09-29 22:00:00+09:00,429.04,435.9,428.76,433.12,222812.2,2025-09-29 13:00:00+00:00,2025-09-29 14:00:00+00:00,1759154400000
2025-09-30 00:00:00+09:00,2025-09-29 23:00:00+09:00,433.1,433.46,429.39,430.56,89741.4,2025-09-29 14:00:00+00:00,2025-09-29 15:00:00+00:00,1759158000000
2025-09-30 01:00:00+09:00,2025-09-30 00:00:00+09:00,430.68,431.72,428.57,428.7,95952.0,2025-09-29 15:00:00+00:00,2025-09-29 16:00:00+00:00,1759161600000
2025-09-30 02:00:00+09:00,2025-09-30 01:00:00+09:00,428.76,429.64,426.85,429.13,75667.5,2025-09-29 16:00:00+00:00,2025-09-29 17:00:00+00:00,1759165200000
2025-09-30 03:00:00+09:00,2025-09-30 02:00:00+09:00,429.12,429.12,426.79,427.98,50425.1,2025-09-29 17:00:00+00:00,2025-09-29 18:00:00+00:00,1759168800000
2025-09-30 04:00:00+09:00,2025-09-30 03:00:00+09:00,428.12,432.0,427.8,431.23,82291.6,2025-09-29 18:00:00+00:00,2025-09-29 19:00:00+00:00,1759172400000
2025-09-30 05:00:00+09:00,2025-09-30 04:00:00+09:00,431.09,433.86,430.2,432.4,92933.6,2025-09-29 19:00:00+00:00,2025-09-29 20:00:00+00:00,1759176000000
2025-09-30 06:00:00+09:00,2025-09-30 05:00:00+09:00,432.44,432.76,429.94,430.44,45549.9,2025-09-29 20:00:00+00:00,2025-09-29 21:00:00+00:00,1759179600000
2025-09-30 07:00:00+09:00,2025-09-30 06:00:00+09:00,430.48,430.92,429.06,429.55,32843.7,2025-09-29 21:00:00+00:00,2025-09-29 22:00:00+00:00,1759183200000
2025-09-30 08:00:00+09:00,2025-09-30 07:00:00+09:00,429.49,429.88,428.4,428.61,53646.5,2025-09-29 22:00:00+00:00,2025-09-29 23:00:00+00:00,1759186800000
2025-09-30 09:00:00+09:00,2025-09-30 08:00:00+09:00,428.6,430.63,427.98,428.64,80912.1,2025-09-29 23:00:00+00:00,2025-09-30 00:00:00+00:00,1759190400000
2025-09-30 10:00:00+09:00,2025-09-30 09:00:00+09:00,428.68,430.9,427.73,429.83,119161.2,2025-09-30 00:00:00+00:00,2025-09-30 01:00:00+00:00,1759194000000
