close_time_jst,open_time_jst,open,high,low,close,volume,open_time_utc,close_time_utc,timestamp_ms
2025-09-21 05:00:00+09:00,2025-09-21 04:00:00+09:00,441.03,441.68,440.59,440.72,31626.7,2025-09-20 19:00:00+00:00,2025-09-20 20:00:00+00:00,1758398400000
2025-09-21 06:00:00+09:00,2025-09-21 05:00:00+09:00,440.68,442.59,440.65,441.88,11788.3,2025-09-20 20:00:00+00:00,2025-09-20 21:00:00+00:00,1758402000000
2025-09-21 07:00:00+09:00,2025-09-21 06:00:00+09:00,441.95,442.54,441.32,442.36,11470.7,2025-09-20 21:00:00+00:00,2025-09-20 22:00:00+00:00,1758405600000
2025-09-21 08:00:00+09:00,2025-09-21 07:00:00+09:00,442.32,442.32,440.56,441.28,28714.7,2025-09-20 22:00:00+00:00,2025-09-20 23:00:00+00:00,1758409200000
2025-09-21 09:00:00+09:00,2025-09-21 08:00:00+09:00,441.29,443.48,440.92,443.12,11142.0,2025-09-20 23:00:00+00:00,2025-09-21 00:00:00+00:00,1758412800000
2025-09-21 10:00:00+09:00,2025-09-21 09:00:00+09:00,443.14,443.44,441.88,442.14,7439.8,2025-09-21 00:00:00+00:00,2025-09-21 01:00:00+00:00,1758416400000
2025-09-21 11:00:00+09:00,2025-09-21 10:00:00+09:00,442.09,443.64,441.64,443.52,24639.8,2025-09-21 01:00:00+00:00,2025-09-21 02:00:00+00:00,1758420000000
2025-09-21 12:00:00+09:00,2025-09-21 11:00:00+09:00,443.55,444.84,443.3,444.76,11865.0,2025-09-21 02:00:00+00:00,2025-09-21 03:00:00+00:00,1758423600000
2025-09-21 13:00:00+09:00,2025-09-21 12:00:00+09:00,444.76,446.08,444.2,446.08,10358.3,2025-09-21 03:00:00+00:00,2025-09-21 04:00:00+00:00,1758427200000
2025-09-21 14:00:00+09:00,2025-09-21 13:00:00+09:00,446.12,446.97,445.17,445.68,38791.1,2025-09-21 04:00:00+00:00,2025-09-21 05:00:00+00:00,1758430800000
2025-09-21 15:00:00+09:00,2025-09-21 14:00:00+09:00,445.72,446.48,445.09,445.09,18214.2,2025-09-21 05:00:00+00:00,2025-09-21 06:00:00+00:00,1758434400000
2025-09-21 16:00:00+09:00,2025-09-21 15:00:00+09:00,445.08,446.15,444.42,444.6,45107.5,2025-09-21 06:00:00+00:00,2025-09-21 07:00:00+00:00,1758438000000
2025-09-21 17:00:00+09:00,2025-09-21 16:00:00+09:00,444.64,445.07,443.56,443.8,12731.8,2025-09-21 07:00:00+00:00,2025-09-21 08:00:00+00:00,1758441600000
2025-09-21 18:00:00+09:00,2025-09-21 17:00:00+09:00,443.83,443.93,439.58,441.96,84296.7,2025-09-21 08:00:00+00:00,2025-09-21 09:00:00+00:00,1758445200000
2025-09-21 19:00:00+09:00,2025-09-21 18:00:00+09:00,441.94,442.08,440.34,440.34,21449.4,2025-09-21 09:00:00+00:00,2025-09-21 10:00:00+00:00,1758448800000
2025-09-21 20:00:00+09:00,2025-09-21 19:00:00+09:00,440.32,442.15,440.18,441.36,21116.7,2025-09-21 10:00:00+00:00,2025-09-21 11:00:00+00:00,1758452400000
2025-09-21 21:00:00+09:00,2025-09-21 20:00:00+09:00,441.4,442.88,441.16,441.92,22641.8,2025-09-21 11:00:00+00:00,2025-09-21 12:00:00+00:00,1758456000000
2025-09-21 22:00:00+09:00,2025-09-21 21:00:00+09:00,441.88,442.88,441.72,442.7,11345.1,2025-09-21 12:00:00+00:00,2025-09-21 13:00:00+00:00,1758459600000
2025-09-21 23:00:00+09:00,2025-09-21 22:00:00+09:00,442.76,442.99,441.24,441.37,10708.6,2025-09-21 13:00:00+00:00,2025-09-21 14:00:00+00:00,1758463200000
2025-09-22 00:00:00+09:00,2025-09-21 23:00:00+09:00,441.37,442.12,440.5,441.94,15281.8,2025-09-21 14:00:00+00:00,2025-09-21 15:00:00+00:00,1758466800000
2025-09-22 01:00:00+09:00,2025-09-22 00:00:00+09:00,441.95,442.47,439.36,439.76,43887.2,2025-09-21 15:00:00+00:00,2025-09-21 16:00:00+00:00,1758470400000
2025-09-22 02:00:00+09:00,2025-09-22 01:00:00+09:00,439.77,440.77,437.98,440.77,36235.5,2025-09-21 16:00:00+00:00,2025-09-21 17:00:00+00:00,1758474000000
2025-09-22 03:00:00+09:00,2025-09-22 02:00:00+09:00,440.8,442.6,440.73,442.6,13572.5,2025-09-21 17:00:00+00:00,2025-09-21 18:00:00+00:00,1758477600000
2025-09-22 04:00:00+09:00,2025-09-22 03:00:00+09:00,442.64,442.66,440.72,442.18,20470.8,2025-09-21 18:00:00+00:00,2025-09-21 19:00:00+00:00,1758481200000
2025-09-22 05:00:00+09:00,2025-09-22 04:00:00+09:00,442.18,442.47,441.0,441.14,19784.4,2025-09-21 19:00:00+00:00,2025-09-21 20:00:00+00:00,1758484800000
2025-09-22 06:00:00+09:00,2025-09-22 05:00:00+09:00,441.24,441.6,440.04,440.79,19006.9,2025-09-21 20:00:00+00:00,2025-09-21 21:00:00+00:00,1758488400000
2025-09-22 07:00:00+09:00,2025-09-22 06:00:00+09:00,440.88,443.36,439.5,443.21,32480.4,2025-09-21 21:00:00+00:00,2025-09-21 22:00:00+00:00,1758492000000
2025-09-22 08:00:00+09:00,2025-09-22 07:00:00+09:00,443.32,443.44,440.16,440.45,35497.3,2025-09-21 22:00:00+00:00,2025-09-21 23:00:00+00:00,1758495600000
2025-09-22 09:00:00+09:00,2025-09-22 08:00:00+09:00,440.44,441.29,430.58,433.07,412974.8,2025-09-21 23:00:00+00:00,2025-09-22 00:00:00+00:00,1758499200000
2025-09-22 10:00:00+09:00,2025-09-22 09:00:00+09:00,433.04,435.75,432.4,433.2,236421.8,2025-09-22 00:00:00+00:00,2025-09-22 01:00:00+00:00,1758502800000
2025-09-22 11:00:00+09:00,2025-09-22 10:00:00+09:00,433.24,433.9,428.0,431.02,244795.5,2025-09-22 01:00:00+00:00,2025-09-22 02:00:00+00:00,1758506400000
2025-09-22 12:00:00+09:00,2025-09-22 11:00:00+09:00,431.04,432.52,430.52,431.92,97998.5,2025-09-22 02:00:00+00:00,2025-09-22 03:00:00+00:00,1758510000000
2025-09-22 13:00:00+09:00,2025-09-22 12:00:00+09:00,431.93,432.45,430.64,430.72,84868.3,2025-09-22 03:00:00+00:00,2025-09-22 04:00:00+00:00,1758513600000
2025-09-22 14:00:00+09:00,2025-09-22 13:00:00+09:00,430.68,430.72,423.14,423.14,190131.4,2025-09-22 04:00:00+00:00,2025-09-22 05:00:00+00:00,1758517200000
2025-09-22 15:00:00+09:00,2025-09-22 14:00:00+09:00,423.59,424.14,401.09,419.64,647487.7,2025-09-22 05:00:00+00:00,2025-09-22 06:00:00+00:00,1758520800000
2025-09-22 16:00:00+09:00,2025-09-22 15:00:00+09:00,419.58,420.0,416.57,416.79,258039.9,2025-09-22 06:00:00+00:00,2025-09-22 07:00:00+00:00,1758524400000
2025-09-22 17:00:00+09:00,2025-09-22 16:00:00+09:00,416.68,418.88,415.55,417.28,147895.8,2025-09-22 07:00:00+00:00,2025-09-22 08:00:00+00:00,1758528000000
2025-09-22 18:00:00+09:00,2025-09-22 17:00:00+09:00,417.36,417.92,413.72,415.2,149550.8,2025-09-22 08:00:00+00:00,2025-09-22 09:00:00+00:00,1758531600000
2025-09-22 19:00:00+09:00,2025-09-22 18:00:00+09:00,415.24,417.91,413.76,417.64,143007.8,2025-09-22 09:00:00+00:00,2025-09-22 10:00:00+00:00,1758535200000
2025-09-22 20:00:00+09:00,2025-09-22 19:00:00+09:00,417.6,418.55,417.07,417.64,171945.7,2025-09-22 10:00:00+00:00,2025-09-22 11:00:00+00:00,1758538800000
2025-09-22 21:00:00+09:00,2025-09-22 20:00:00+09:00,417.72,421.8,415.96,421.8,181030.9,2025-09-22 11:00:00+00:00,2025-09-22 12:00:00+00:00,1758542400000
2025-09-22 22:00:00+09:00,2025-09-22 21:00:00+09:00,421.83,423.68,420.42,423.6,174191.0,2025-09-22 12:00:00+00:00,2025-09-22 13:00:00+00:00,1758546000000
2025-09-22 23:00:00+09:00,2025-09-22 22:00:00+09:00,423.64,425.77,422.76,424.43,169743.9,2025-09-22 13:00:00+00:00,2025-09-22 14:00:00+00:00,1758549600000
2025-09-23 00:00:00+09:00,2025-09-22 23:00:00+09:00,424.36,426.23,422.6,424.04,196201.5,2025-09-22 14:00:00+00:00,2025-09-22 15:00:00+00:00,1758553200000
2025-09-23 01:00:00+09:00,2025-09-23 00:00:00+09:00,423.92,425.51,421.28,421.72,112780.3,2025-09-22 15:00:00+00:00,2025-09-22 16:00:00+00:00,1758556800000
2025-09-23 02:00:00+09:00,2025-09-23 01:00:00+09:00,421.8,424.96,421.56,423.38,102035.8,2025-09-22 16:00:00+00:00,2025-09-22 17:00:00+00:00,1758560400000
2025-09-23 03:00:00+09:00,2025-09-23 02:00:00+09:00,423.16,423.92,419.76,419.87,95795.0,2025-09-22 17:00:00+00:00,2025-09-22 18:00:00+00:00,1758564000000
2025-09-23 04:00:00+09:00,2025-09-23 03:00:00+09:00,419.77,420.31,417.1,419.73,137714.5,2025-09-22 18:00:00+00:00,2025-09-22 19:00:00+00:00,1758567600000
2025-09-23 05:00:00+09:00,2025-09-23 04:00:00+09:00,419.65,421.12,416.96,420.68,95139.7,2025-09-22 19:00:00+00:00,2025-09-22 20:00:00+00:00,1758571200000
2025-09-23 06:00:00+09:00,2025-09-23 05:00:00+09:00,420.69,423.16,419.3,423.08,57561.0,2025-09-22 20:00:00+00:00,2025-09-22 21:00:00+00:00,1758574800000
2025-09-23 07:00:00+09:00,2025-09-23 06:00:00+09:00,423.04,423.04,421.24,421.68,27251.8,2025-09-22 21:00:00+00:00,2025-09-22 22:00:00+00:00,1758578400000
2025-09-23 08:00:00+09:00,2025-09-23 07:00:00+09:00,421.65,422.48,421.44,422.48,21500.2,2025-09-22 22:00:00+00:00,2025-09-22 23:00:00+00:00,1758582000000
2025-09-23 09:00:00+09:00,2025-09-23 08:00:00+09:00,422.51,424.82,421.93,422.24,53426.0,2025-09-22 23:00:00+00:00,2025-09-23 00:00:00+00:00,1758585600000
2025-09-23 10:00:00+09:00,2025-09-23 09:00:00+09:00,422.32,422.49,417.89,417.93,72534.9,2025-09-23 00:00:00+00:00,2025-09-23 01:00:00+00:00,1758589200000
2025-09-23 11:00:00+09:00,2025-09-23 10:00:00+09:00,418.0,420.15,416.04,416.32,80675.6,2025-09-23 01:00:00+00:00,2025-09-23 02:00:00+00:00,1758592800000
2025-09-23 12:00:00+09:00,2025-09-23 11:00:00+09:00,416.48,425.6,414.97,423.72,150814.8,2025-09-23 02:00:00+00:00,2025-09-23 03:00:00+00:00,1758596400000
2025-09-23 13:00:00+09:00,2025-09-23 12:00:00+09:00,423.76,424.56,420.3,423.24,106180.6,2025-09-23 03:00:00+00:00,2025-09-23 04:00:00+00:00,1758600000000
2025-09-23 14:00:00+09:00,2025-09-23 13:00:00+09:00,423.25,426.08,422.8,424.4,131427.0,2025-09-23 04:00:00+00:00,2025-09-23 05:00:00+00:00,1758603600000
2025-09-23 15:00:00+09:00,2025-09-23 14:00:00+09:00,424.48,426.77,423.8,425.18,92668.2,2025-09-23 05:00:00+00:00,2025-09-23 06:00:00+00:00,1758607200000
2025-09-23 16:00:00+09:00,2025-09-23 15:00:00+09:00,425.28,427.15,424.33,424.33,80103.8,2025-09-23 06:00:00+00:00,2025-09-23 07:00:00+00:00,1758610800000
2025-09-23 17:00:00+09:00,2025-09-23 16:00:00+09:00,424.36,425.0,423.05,424.08,77567.4,2025-09-23 07:00:00+00:00,2025-09-23 08:00:00+00:00,1758614400000
2025-09-23 18:00:00+09:00,2025-09-23 17:00:00+09:00,424.08,425.12,421.81,422.92,45923.6,2025-09-23 08:00:00+00:00,2025-09-23 09:00:00+00:00,1758618000000
2025-09-23 19:00:00+09:00,2025-09-23 18:00:00+09:00,422.92,424.74,422.66,424.03,34110.2,2025-09-23 09:00:00+00:00,2025-09-23 10:00:00+00:00,1758621600000
2025-09-23 20:00:00+09:00,2025-09-23 19:00:00+09:00,424.0,424.66,423.18,423.44,36960.5,2025-09-23 10:00:00+00:00,2025-09-23 11:00:00+00:00,1758625200000
2025-09-23 21:00:00+09:00,2025-09-23 20:00:00+09:00,423.4,425.4,422.66,424.48,72957.4,2025-09-23 11:00:00+00:00,2025-09-23 12:00:00+00:00,1758628800000
2025-09-23 22:00:00+09:00,2025-09-23 21:00:00+09:00,424.44,424.72,422.88,423.52,38143.4,2025-09-23 12:00:00+00:00,2025-09-23 13:00:00+00:00,1758632400000
2025-09-23 23:00:00+09:00,2025-09-23 22:00:00+09:00,423.44,426.14,423.08,424.41,66862.6,2025-09-23 13:00:00+00:00,2025-09-23 14:00:00+00:00,1758636000000
2025-09-24 00:00:00+09:00,2025-09-23 23:00:00+09:00,424.4,427.41,423.6,426.5,42591.2,2025-09-23 14:00:00+00:00,2025-09-23 15:00:00+00:00,1758639600000
2025-09-24 01:00:00+09:00,2025-09-24 00:00:00+09:00,426.44,428.8,424.47,427.44,102983.6,2025-09-23 15:00:00+00:00,2025-09-23 16:00:00+00:00,1758643200000
2025-09-24 02:00:00+09:00,2025-09-24 01:00:00+09:00,427.4,427.4,420.99,421.42,97848.0,2025-09-23 16:00:00+00:00,2025-09-23 17:00:00+00:00,1758646800000
2025-09-24 03:00:00+09:00,2025-09-24 02:00:00+09:00,421.44,422.38,419.84,420.96,58857.4,2025-09-23 17:00:00+00:00,2025-09-23 18:00:00+00:00,1758650400000
2025-09-24 04:00:00+09:00,2025-09-24 03:00:00+09:00,420.96,424.45,420.96,421.97,82756.1,2025-09-23 18:00:00+00:00,2025-09-23 19:00:00+00:00,1758654000000
2025-09-24 05:00:00+09:00,2025-09-24 04:00:00+09:00,421.92,422.87,420.12,422.28,41338.5,2025-09-23 19:00:00+00:00,2025-09-23 20:00:00+00:00,1758657600000
2025-09-24 06:00:00+09:00,2025-09-24 05:00:00+09:00,422.28,422.56,419.4,421.4,44427.2,2025-09-23 20:00:00+00:00,2025-09-23 21:00:00+00:00,1758661200000
2025-09-24 07:00:00+09:00,2025-09-24 06:00:00+09:00,421.36,421.36,419.16,419.48,10889.9,2025-09-23 21:00:00+00:00,2025-09-23 22:00:00+00:00,1758664800000
2025-09-24 08:00:00+09:00,2025-09-24 07:00:00+09:00,419.45,419.57,416.84,417.88,44746.7,2025-09-23 22:00:00+00:00,2025-09-23 23:00:00+00:00,1758668400000
2025-09-24 09:00:00+09:00,2025-09-24 08:00:00+09:00,417.87,420.24,417.04,418.8,33354.3,2025-09-23 23:00:00+00:00,2025-09-24 00:00:00+00:00,1758672000000
2025-09-24 10:00:00+09:00,2025-09-24 09:00:00+09:00,418.72,420.97,418.36,420.73,30537.6,2025-09-24 00:00:00+00:00,2025-09-24 01:00:00+00:00,1758675600000
2025-09-24 11:00:00+09:00,2025-09-24 10:00:00+09:00,420.73,420.73,417.6,419.1,103865.4,2025-09-24 01:00:00+00:00,2025-09-24 02:00:00+00:00,1758679200000
2025-09-24 12:00:00+09:00,2025-09-24 11:00:00+09:00,418.96,419.75,415.78,417.12,90929.9,2025-09-24 02:00:00+00:00,2025-09-24 03:00:00+00:00,1758682800000
2025-09-24 13:00:00+09:00,2025-09-24 12:00:00+09:00,417.04,422.48,413.74,421.32,163331.9,2025-09-24 03:00:00+00:00,2025-09-24 04:00:00+00:00,1758686400000
2025-09-24 14:00:00+09:00,2025-09-24 13:00:00+09:00,421.28,424.09,420.98,423.69,86759.3,2025-09-24 04:00:00+00:00,2025-09-24 05:00:00+00:00,1758690000000
2025-09-24 15:00:00+09:00,2025-09-24 14:00:00+09:00,423.68,425.66,423.24,423.96,132816.4,2025-09-24 05:00:00+00:00,2025-09-24 06:00:00+00:00,1758693600000
2025-09-24 16:00:00+09:00,2025-09-24 15:00:00+09:00,424.0,427.0,423.71,426.54,141991.6,2025-09-24 06:00:00+00:00,2025-09-24 07:00:00+00:00,1758697200000
2025-09-24 17:00:00+09:00,2025-09-24 16:00:00+09:00,426.64,427.83,425.71,427.02,117117.8,2025-09-24 07:00:00+00:00,2025-09-24 08:00:00+00:00,1758700800000
2025-09-24 18:00:00+09:00,2025-09-24 17:00:00+09:00,427.14,427.7,426.62,426.96,58159.0,2025-09-24 08:00:00+00:00,2025-09-24 09:00:00+00:00,1758704400000
2025-09-24 19:00:00+09:00,2025-09-24 18:00:00+09:00,426.92,427.45,426.48,427.23,58968.4,2025-09-24 09:00:00+00:00,2025-09-24 10:00:00+00:00,1758708000000
2025-09-24 20:00:00+09:00,2025-09-24 19:00:00+09:00,427.22,428.96,427.14,428.49,65796.5,2025-09-24 10:00:00+00:00,2025-09-24 11:00:00+00:00,1758711600000
2025-09-24 21:00:00+09:00,2025-09-24 20:00:00+09:00,428.52,429.64,428.37,428.66,71226.5,2025-09-24 11:00:00+00:00,2025-09-24 12:00:00+00:00,1758715200000
2025-09-24 22:00:00+09:00,2025-09-24 21:00:00+09:00,428.66,430.2,428.38,428.92,71529.7,2025-09-24 12:00:00+00:00,2025-09-24 13:00:00+00:00,1758718800000
2025-09-24 23:00:00+09:00,2025-09-24 22:00:00+09:00,428.96,435.96,428.96,435.28,151496.8,2025-09-24 13:00:00+00:00,2025-09-24 14:00:00+00:00,1758722400000
2025-09-25 00:00:00+09:00,2025-09-24 23:00:00+09:00,435.25,439.82,433.85,438.43,185058.4,2025-09-24 14:00:00+00:00,2025-09-24 15:00:00+00:00,1758726000000
2025-09-25 01:00:00+09:00,2025-09-25 00:00:00+09:00,438.09,440.13,436.75,439.19,138563.1,2025-09-24 15:00:00+00:00,2025-09-24 16:00:00+00:00,1758729600000
2025-09-25 02:00:00+09:00,2025-09-25 01:00:00+09:00,439.28,440.57,437.57,438.79,117491.8,2025-09-24 16:00:00+00:00,2025-09-24 17:00:00+00:00,1758733200000
2025-09-25 03:00:00+09:00,2025-09-25 02:00:00+09:00,438.79,440.67,438.36,440.18,74322.2,2025-09-24 17:00:00+00:00,2025-09-24 18:00:00+00:00,1758736800000
2025-09-25 04:00:00+09:00,2025-09-25 03:00:00+09:00,440.08,446.66,439.66,443.86,146607.7,2025-09-24 18:00:00+00:00,2025-09-24 19:00:00+00:00,1758740400000
2025-09-25 05:00:00+09:00,2025-09-25 04:00:00+09:00,443.98,444.21,440.16,442.69,126946.1,2025-09-24 19:00:00+00:00,2025-09-24 20:00:00+00:00,1758744000000
2025-09-25 06:00:00+09:00,2025-09-25 05:00:00+09:00,442.72,443.56,438.48,438.72,74192.5,2025-09-24 20:00:00+00:00,2025-09-24 21:00:00+00:00,1758747600000
2025-09-25 07:00:00+09:00,2025-09-25 06:00:00+09:00,438.7,441.15,437.71,438.51,125930.7,2025-09-24 21:00:00+00:00,2025-09-24 22:00:00+00:00,1758751200000
2025-09-25 08:00:00+09:00,2025-09-25 07:00:00+09:00,438.43,439.21,435.58,435.93,72524.7,2025-09-24 22:00:00+00:00,2025-09-24 23:00:00+00:00,1758754800000
2025-09-25 09:00:00+09:00,2025-09-25 08:00:00+09:00,435.96,438.52,433.64,433.92,144135.3,2025-09-24 23:00:00+00:00,2025-09-25 00:00:00+00:00,1758758400000
2025-09-25 10:00:00+09:00,2025-09-25 09:00:00+09:00,433.82,434.47,431.21,431.72,170840.2,2025-09-25 00:00:00+00:00,2025-09-25 01:00:00+00:00,1758762000000
2025-09-25 11:00:00+09:00,2025-09-25 10:00:00+09:00,431.84,434.79,430.55,433.2,109008.8,2025-09-25 01:00:00+00:00,2025-09-25 02:00:00+00:00,1758765600000
2025-09-25 12:00:00+09:00,2025-09-25 11:00:00+09:00,433.16,433.16,427.78,428.3,137602.3,2025-09-25 02:00:00+00:00,2025-09-25 03:00:00+00:00,1758769200000
2025-09-25 13:00:00+09:00,2025-09-25 12:00:00+09:00,428.24,428.91,422.41,424.26,226267.6,2025-09-25 03:00:00+00:00,2025-09-25 04:00:00+00:00,1758772800000
2025-09-25 14:00:00+09:00,2025-09-25 13:00:00+09:00,424.2,427.6,422.79,427.5,159024.4,2025-09-25 04:00:00+00:00,2025-09-25 05:00:00+00:00,1758776400000
2025-09-25 15:00:00+09:00,2025-09-25 14:00:00+09:00,427.4,427.4,424.38,424.64,115868.1,2025-09-25 05:00:00+00:00,2025-09-25 06:00:00+00:00,1758780000000
2025-09-25 16:00:00+09:00,2025-09-25 15:00:00+09:00,424.68,426.08,423.6,424.2,104602.6,2025-09-25 06:00:00+00:00,2025-09-25 07:00:00+00:00,1758783600000
2025-09-25 17:00:00+09:00,2025-09-25 16:00:00+09:00,424.23,426.36,421.9,422.5,135876.5,2025-09-25 07:00:00+00:00,2025-09-25 08:00:00+00:00,1758787200000
2025-09-25 18:00:00+09:00,2025-09-25 17:00:00+09:00,422.48,424.82,421.51,421.8,118944.2,2025-09-25 08:00:00+00:00,2025-09-25 09:00:00+00:00,1758790800000
2025-09-25 19:00:00+09:00,2025-09-25 18:00:00+09:00,421.84,423.24,420.45,420.48,55291.6,2025-09-25 09:00:00+00:00,2025-09-25 10:00:00+00:00,1758794400000
