close_time_jst,open_time_jst,open,high,low,close,volume,open_time_utc,close_time_utc,timestamp_ms
2025-09-27 13:00:00+09:00,2025-09-27 12:00:00+09:00,417.34,418.22,416.76,417.32,38499.5,2025-09-27 03:00:00+00:00,2025-09-27 04:00:00+00:00,1758945600000
2025-09-27 14:00:00+09:00,2025-09-27 13:00:00+09:00,417.28,418.4,416.3,418.2,19121.2,2025-09-27 04:00:00+00:00,2025-09-27 05:00:00+00:00,1758949200000
2025-09-27 15:00:00+09:00,2025-09-27 14:00:00+09:00,418.12,419.28,417.8,419.28,20953.6,2025-09-27 05:00:00+00:00,2025-09-27 06:00:00+00:00,1758952800000
2025-09-27 16:00:00+09:00,2025-09-27 15:00:00+09:00,419.32,420.0,416.78,416.79,41173.6,2025-09-27 06:00:00+00:00,2025-09-27 07:00:00+00:00,1758956400000
2025-09-27 17:00:00+09:00,2025-09-27 16:00:00+09:00,416.87,416.92,414.95,415.08,43128.9,2025-09-27 07:00:00+00:00,2025-09-27 08:00:00+00:00,1758960000000
2025-09-27 18:00:00+09:00,2025-09-27 17:00:00+09:00,415.1,417.07,414.07,416.74,31636.4,2025-09-27 08:00:00+00:00,2025-09-27 09:00:00+00:00,1758963600000
2025-09-27 19:00:00+09:00,2025-09-27 18:00:00+09:00,416.8,418.64,416.52,418.0,40235.9,2025-09-27 09:00:00+00:00,2025-09-27 10:00:00+00:00,1758967200000
2025-09-27 20:00:00+09:00,2025-09-27 19:00:00+09:00,417.96,417.96,416.07,416.3,24945.2,2025-09-27 10:00:00+00:00,2025-09-27 11:00:00+00:00,1758970800000
2025-09-27 21:00:00+09:00,2025-09-27 20:00:00+09:00,416.29,417.83,415.88,417.44,21982.4,2025-09-27 11:00:00+00:00,2025-09-27 12:00:00+00:00,1758974400000
2025-09-27 22:00:00+09:00,2025-09-27 21:00:00+09:00,417.36,417.67,416.84,416.9,15562.1,2025-09-27 12:00:00+00:00,2025-09-27 13:00:00+00:00,1758978000000
2025-09-27 23:00:00+09:00,2025-09-27 22:00:00+09:00,416.95,417.55,416.8,417.12,15188.7,2025-09-27 13:00:00+00:00,2025-09-27 14:00:00+00:00,1758981600000
