close_time_jst,open_time_jst,open,high,low,close,volume,open_time_utc,close_time_utc,timestamp_ms
2025-09-28 12:00:00+09:00,2025-09-28 11:00:00+09:00,416.16,416.77,415.86,416.29,14336.110633999999,2025-09-28 02:00:00+00:00,2025-09-28 03:00:00+00:00,1759028400000.0
2025-09-28 13:00:00+09:00,2025-09-28 12:00:00+09:00,416.77,417.66,415.94,417.22,21915.169438000004,2025-09-28 03:00:00+00:00,2025-09-28 04:00:00+00:00,1759032000000.0
2025-09-28 14:00:00+09:00,2025-09-28 13:00:00+09:00,417.55,418.29,416.48,416.54,20756.912639000002,2025-09-28 04:00:00+00:00,2025-09-28 05:00:00+00:00,1759035600000.0
2025-09-28 15:00:00+09:00,2025-09-28 14:00:00+09:00,416.77,417.15,415.73,416.65,14751.12876,2025-09-28 05:00:00+00:00,2025-09-28 06:00:00+00:00,1759039200000.0
